 1.11 1.34036 -0.451037 -1.54188e-012 
 1.12 1.33578 -0.464418 -1.55564e-012 
 1.13 1.33107 -0.477752 -1.56952e-012 
 1.14 1.32623 -0.491039 -1.58329e-012 
 1.15 1.32125 -0.504276 -1.59739e-012 
 1.16 1.31614 -0.517464 -1.61104e-012 
 1.17 1.3109 -0.530599 -1.62492e-012 
 1.18 1.30553 -0.543681 -1.63869e-012 
 1.19 1.30003 -0.556709 -1.65246e-012 
 1.2 1.2944 -0.569681 -1.66644e-012 
 1.21 1.28864 -0.582597 -1.68032e-012 
 1.22 1.28275 -0.595454 -1.69409e-012 
 1.23 1.27673 -0.608251 -1.70797e-012 
 1.24 1.27058 -0.620988 -1.72184e-012 
 1.25 1.26431 -0.633662 -1.73572e-012 
 1.26 1.25791 -0.646273 -1.74938e-012 
 1.27 1.25138 -0.65882 -1.76337e-012 
 1.28 1.24473 -0.671301 -1.77725e-012 
 1.29 1.23796 -0.683714 -1.79123e-012 
 1.3 1.23106 -0.696059 -1.80522e-012 
 1.31 1.22403 -0.708335 -1.81921e-012 
 1.32 1.21689 -0.72054 -1.83298e-012 
 1.33 1.20962 -0.732672 -1.84674e-012 
 1.34 1.20224 -0.744732 -1.86073e-012 
 1.35 1.19473 -0.756717 -1.8745e-012 
 1.36 1.1871 -0.768626 -1.88827e-012 
 1.37 1.17936 -0.780458 -1.90215e-012 
 1.38 1.17149 -0.792213 -1.91602e-012 
 1.39 1.16351 -0.803888 -1.93001e-012 
 1.4 1.15542 -0.815483 -1.94378e-012 
 1.41 1.1472 -0.826996 -1.95755e-012 
 1.42 1.13888 -0.838426 -1.97142e-012 
 1.43 1.13044 -0.849773 -1.98541e-012 
 1.44 1.12188 -0.861035 -1.99918e-012 
 1.45 1.11322 -0.87221 -2.01317e-012 
 1.46 1.10444 -0.883299 -2.02727e-012 
 1.47 1.09555 -0.894299 -2.04103e-012 
 1.48 1.08655 -0.905209 -2.0548e-012 
 1.49 1.07745 -0.916029 -2.06879e-012 
 1.5 1.06823 -0.926758 -2.08278e-012 
 1.51 1.05891 -0.937394 -2.09666e-012 
 1.52 1.04948 -0.947936 -2.11053e-012 
 1.53 1.03995 -0.958383 -2.12452e-012 
 1.54 1.03032 -0.968734 -2.1384e-012 
 1.55 1.02058 -0.978989 -2.15228e-012 
 1.56 1.01074 -0.989146 -2.16616e-012 
 1.57 1.0008 -0.999203 -2.18003e-012 
 1.58 0.990754 -1.00916 -2.19402e-012 
 1.59 0.980613 -1.01902 -2.20801e-012 
 1.6 0.970374 -1.02877 -2.22167e-012 
 1.61 0.960038 -1.03843 -2.23555e-012 
 1.62 0.949606 -1.04797 -2.24953e-012 
 1.63 0.939079 -1.05742 -2.2633e-012 
 1.64 0.928458 -1.06675 -2.27729e-012 
 1.65 0.917744 -1.07599 -2.29106e-012 
 1.66 0.906939 -1.08511 -2.30493e-012 
 1.67 0.896042 -1.09412 -2.31859e-012 
 1.68 0.885056 -1.10303 -2.33247e-012 
 1.69 0.873982 -1.11183 -2.34635e-012 
 1.7 0.86282 -1.12051 -2.36011e-012 
 1.71 0.851572 -1.12908 -2.3741e-012 
 1.72 0.840239 -1.13754 -2.38798e-012 
 1.73 0.828822 -1.14589 -2.40186e-012 
 1.74 0.817322 -1.15412 -2.41585e-012 
